"VARIABLE_NO"|"NAME"|"UNIT_CODE"|"UNITS"|"SHORTNAME"|"COMMNT"|"MINIMUM"|"MAXIMUM"|"ACCURACY"|"PRECISION"
2714|Manganese as Mn - total|UT|Micrograms/Litre|Manganese as Mn tot (ug/L)||0|0|-1|.00001
2715|Manganese as Mn - soluble|UT|Micrograms/Litre|Manganese as Mn - soluble (ug/L)||0|0|-1|.00001
2721|Mercury as Hg - total|MGL|Milligrams/Litre|Mercury as Hg total (mg/L)||0|0|1|.00001
2731|Molybdenum as Mo - total|MGL|Milligrams/Litre|Molybdenum as Mo - total (Milligrams/Lit||0|0|0|.00001
2731.2|Molybdenum as Mo - total|MGL|Milligrams/Litre|Molybdenum as Mo - total (Milligrams/Lit||0|0|2|.00001
2741|Nickel as Ni - total|MGL|Milligrams/Litre|Nickel as Ni - total (Milligrams/Litre)||0|0|0|.00001
2741.01|Nickel as Ni -total|MGL|Milligrams/Litre|Nickel total|ICPAES|.005|.1|3|.00001
2741.02|Nickel as Ni - total (finer LOR)|MGL|Milligrams/Litre|Nickel|ICP-MS|0|0|4|.00001
2741.2|Nickel as Ni - total|MGL|Milligrams/Litre|Nickel as Ni - total (Milligrams/Litre)||0|0|0|.00001
2742|Nickel as Ni - soluble|MGL|Milligrams/Litre|Nickel as Ni - soluble (Milligrams/Litre||0|0|0|.00001
2742.02|Nickel as Ni - soluble (finer LOR)|MGL|Milligrams/Litre|Nickel Dissolved|ICP-MS|0|0|4|.00001
2744|Nickel as Ni - total|UT|Micrograms/Litre|Nickel as Ni total (ug/L)||0|0|0|.00001
2745|Nickel as Ni - soluble|UT|Micrograms/Litre|Nickel as Ni - soluble (Micrograms/Litre||0|0|0|.00001
